INSTNM,SCH_DEG,PREDDEG,CONTROL,CCBASIC,ADM_RATE,ACTCM25,ACTCM75,ACTMTMID,ACTWRMID,SAT_AVG,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,labels
South Dakota State University,3.0,3.0,1.0,16.0,0.8894,20.0,26.0,23.0,7.74,1150.0,14171.0,14846.0,18826.0,20393.0,20110.0,1
Sinte Gleska University,2.0,2.0,1.0,33.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8592.0,10826.0,11592.0,13810.511688311686,15555.36963190184,2
University of Sioux Falls,3.0,3.0,2.0,19.0,0.9229,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Sanford Medical Center,1.0,1.0,2.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Sisseton Wahpeton College,2.0,2.0,1.0,33.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,2502.0,730.0,5643.0,6249.0,15555.36963190184,2
Southeast Technical College,2.0,2.0,1.0,7.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,13254.0,15170.0,16294.0,17390.0,17862.0,2
Stewart School,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
University of South Dakota,3.0,3.0,1.0,16.0,0.9095,20.0,25.0,23.0,7.74,1134.0,15495.0,17294.0,19548.0,21009.0,21079.0,1
Western Dakota Technical College,2.0,1.0,1.0,8.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,12732.0,13631.0,16859.0,18299.0,19603.0,2
American Baptist College,3.0,3.0,2.0,24.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Arnolds Beauty School,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Tennessee College of Applied Technology-Athens,1.0,1.0,1.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,4558.0,5028.0,4365.0,13810.511688311686,15555.36963190184,2
Austin Peay State University,3.0,3.0,1.0,18.0,0.9115,19.0,24.0,20.0,7.74,1104.0,12265.0,13774.0,16859.0,19290.0,19300.0,1
